person,personLabel,deathDate,deathPlace,deathPlaceLabel,deathLat,deathLon,burialPlace,burialPlaceLabel,burialLat,burialLon
http://www.wikidata.org/entity/Q7789306,Thomas Egleston,1900-01-15T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,http://www.wikidata.org/entity/Q42720261,Trinity Church Cemetery and Mausoleum,40.832231111,-73.946506111
http://www.wikidata.org/entity/Q7817180,Tom Patterson,1900-05-31T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q8012027,William Henry Harrison Benyaurd,1900-02-07T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,http://www.wikidata.org/entity/Q2687434,West Point Cemetery,41.398888888,-73.967222222
http://www.wikidata.org/entity/Q8014712,"William Louis Sonntag, Sr.",1900-01-22T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q8015150,William Marsh Rice,1900-09-23T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q9056782,Patakon,1900-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15,Africa,21.09375,7.1881,,,,
http://www.wikidata.org/entity/Q11259300,Jerzy Franciszek Grabowski,1900-01-01T00:00:00Z,http://www.wikidata.org/entity/Q38,Italy,42.5,12.5,,,,
http://www.wikidata.org/entity/Q12717473,Ole Theodor Helliesen,1900-08-24T00:00:00Z,http://www.wikidata.org/entity/Q35,Denmark,56.0,10.0,,,,
http://www.wikidata.org/entity/Q12767818,Janko Slovenský,1900-08-10T00:00:00Z,http://www.wikidata.org/entity/Q30,United States,39.828175,-98.5795,,,,
http://www.wikidata.org/entity/Q12957193,Frank Fleet,1900-06-13T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q15697300,Aimé Dupont,1900-02-16T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,http://www.wikidata.org/entity/Q61473536,North East Cemetery,42.2094,-79.8564
http://www.wikidata.org/entity/Q16030383,William McNeill Whistler,1900-02-27T00:00:00Z,http://www.wikidata.org/entity/Q21,England,53.0,-1.0,http://www.wikidata.org/entity/Q17512701,Hastings Cemetery,50.8792,0.5926
http://www.wikidata.org/entity/Q16528415,Alejandro de la Cruz,1900-01-01T00:00:00Z,http://www.wikidata.org/entity/Q29,Spain,40.2,-3.5,,,,
http://www.wikidata.org/entity/Q18508034,Charles Felix Blauvelt,1900-04-16T00:00:00Z,http://www.wikidata.org/entity/Q30,United States,39.828175,-98.5795,,,,
http://www.wikidata.org/entity/Q21460819,John Clinton Ogilvie,1900-11-29T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,http://www.wikidata.org/entity/Q5417185,Evergreen Cemetery,40.8045,-74.4708
http://www.wikidata.org/entity/Q22465655,Adelina Murio-Celli d‘Elpeux,1900-04-10T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q23989369,Karl Erixon,1900-04-27T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q25909866,Yitshak ben Mordekhai Rabinovits,1900-03-09T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,,,,
http://www.wikidata.org/entity/Q29261488,Charles A. Cheever,1900-05-02T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,40.728138888,-73.920277777,http://www.wikidata.org/entity/Q55875707,Trinity Cemetery,40.6347715,-73.7083431
